platform,name,handle,external_id,date_launched,scope_type,bounty_min,bounty_max,link
HackenProof,Calyx Smart Contract,calyx-smart-contract,HackenProof:calyx-smart-contract,2025-10-03,"other,rust,smart contract",100.0,100000.0,https://hackenproof.com/programs/calyx-smart-contract
HackenProof,Turbos Finance Smart Contracts,turbos-finance-smart-contracts,HackenProof:turbos-finance-smart-contracts,2025-09-17,"move,other,smart contract",50.0,15000.0,https://hackenproof.com/programs/turbos-finance-smart-contracts
HackenProof,Snowbridge On-Chain Code,snowbridge-on-chain-code,HackenProof:snowbridge-on-chain-code,2025-09-11,"other,rust,smart contract,solidity",200.0,75000.0,https://hackenproof.com/programs/snowbridge-on-chain-code
HackenProof,Snowbridge Web,snowbridge-web,HackenProof:snowbridge-web,2025-09-11,"domain,other",200.0,15000.0,https://hackenproof.com/programs/snowbridge-web
HackenProof,Sweed Web,sweed-web,HackenProof:sweed-web,2025-09-09,domain,50.0,2000.0,https://hackenproof.com/programs/sweed-web
HackenProof,NEAR Intents: Smart Contracts,near-intents-smart-contracts,HackenProof:near-intents-smart-contracts,2025-09-08,"blockchain-dlt,other,rust,smart contract",100.0,300000.0,https://hackenproof.com/programs/near-intents-smart-contracts
HackenProof,Bluefin Dex Contracts,bluefin-dex-contracts,HackenProof:bluefin-dex-contracts,2025-09-02,"move,other,smart contract",5000.0,15000.0,https://hackenproof.com/programs/bluefin-dex-contracts
HackenProof,Kai Finance Yield Protocol,kai-finance-yield-protocol,HackenProof:kai-finance-yield-protocol,2025-09-02,"move,other,smart contract",5000.0,100000.0,https://hackenproof.com/programs/kai-finance-yield-protocol
HackenProof,Bucket Protocol Smart Contracts,bucket-protocol-smart-contracts,HackenProof:bucket-protocol-smart-contracts,2025-08-29,"move,other,smart contract",10.0,500000.0,https://hackenproof.com/programs/bucket-protocol-smart-contracts
HackenProof,Haedal Smart Contracts,haedal-smart-contracts,HackenProof:haedal-smart-contracts,2025-08-25,"move,other,smart contract",5.0,200000.0,https://hackenproof.com/programs/haedal-smart-contracts
HackenProof,OFZA Web,ofza-web,HackenProof:ofza-web,2025-08-13,"domain,wildcard",100.0,10000.0,https://hackenproof.com/programs/ofza-web
HackenProof,Bitkub Blockchain Technology,bitkub-blockchain-technology,HackenProof:bitkub-blockchain-technology,2025-08-08,"api,domain,mobile",50.0,2500.0,https://hackenproof.com/programs/bitkub-blockchain-technology
HackenProof,KUB Chain & Ecosystem,kub-chain-and-ecosystem,HackenProof:kub-chain-and-ecosystem,2025-08-08,"blockchain-dlt,domain,other,smart contract",100.0,5000.0,https://hackenproof.com/programs/kub-chain-and-ecosystem
HackenProof,Bag Labs Web,bag-labs-web,HackenProof:bag-labs-web,2025-08-05,domain,200.0,10000.0,https://hackenproof.com/programs/bag-labs-web
HackenProof,Layer3 Web,layer3-web,HackenProof:layer3-web,2025-08-05,domain,200.0,10000.0,https://hackenproof.com/programs/layer3-web
HackenProof,NoOnes Web & Mobile,noones-web-and-mobile,HackenProof:noones-web-and-mobile,2025-07-17,domain,150.0,5000.0,https://hackenproof.com/programs/noones-web-and-mobile
HackenProof,NonKyc.io,nonkyc-dot-io,HackenProof:nonkyc-dot-io,2025-07-08,"api,domain,mobile",50.0,5000.0,https://hackenproof.com/programs/nonkyc-dot-io
HackenProof,Cetus Smart Contracts,cetus-smart-contracts,HackenProof:cetus-smart-contracts,2025-07-07,"move,other,smart contract",10.0,300000.0,https://hackenproof.com/programs/cetus-smart-contracts
HackenProof,Zoomex Web & Mobile,zoomex-web-and-mobile,HackenProof:zoomex-web-and-mobile,2025-06-27,"domain,mobile",100.0,10000.0,https://hackenproof.com/programs/zoomex-web-and-mobile
HackenProof,Tapbit Web & Mobile,tapbit-web-and-mobile,HackenProof:tapbit-web-and-mobile,2025-06-25,"domain,mobile",200.0,10000.0,https://hackenproof.com/programs/tapbit-web-and-mobile
HackenProof,1inch Business,1inch-business,HackenProof:1inch-business,2025-06-23,"api,domain",100.0,100000.0,https://hackenproof.com/programs/1inch-business
HackenProof,1inch Infrastructure,1inch-infrastructure,HackenProof:1inch-infrastructure,2025-06-23,"api,domain",100.0,20000.0,https://hackenproof.com/programs/1inch-infrastructure
HackenProof,1inch Wallet,1inch-wallet,HackenProof:1inch-wallet,2025-06-23,"domain,mobile",100.0,100000.0,https://hackenproof.com/programs/1inch-wallet
HackenProof,1inch Web,1inch-web,HackenProof:1inch-web,2025-06-23,domain,100.0,50000.0,https://hackenproof.com/programs/1inch-web
HackenProof,SynFutures dApp,synfutures-dapp,HackenProof:synfutures-dapp,2025-06-17,domain,1000.0,10000.0,https://hackenproof.com/programs/synfutures-dapp
HackenProof,Bluefin Coin Contracts,bluefin-coin-contracts,HackenProof:bluefin-coin-contracts,2025-06-13,"move,other,smart contract",5000.0,15000.0,https://hackenproof.com/programs/bluefin-coin-contracts
HackenProof,GroveX Web & Mobile,grovex-web-and-mobile,HackenProof:grovex-web-and-mobile,2025-05-30,"domain,mobile,wildcard",100.0,1500.0,https://hackenproof.com/programs/grovex-web-and-mobile
HackenProof,KCEX,kcex,HackenProof:kcex,2025-05-29,"domain,mobile",200.0,5000.0,https://hackenproof.com/programs/kcex
HackenProof,Flipster Web & Mobile,flipster-web-and-mobile,HackenProof:flipster-web-and-mobile,2025-05-22,"api,domain,mobile",50.0,3000.0,https://hackenproof.com/programs/flipster-web-and-mobile
HackenProof,The Sandbox Public Infrastructure,the-sandbox-public-infrastructure,HackenProof:the-sandbox-public-infrastructure,2025-05-22,"domain,wildcard",100.0,5000.0,https://hackenproof.com/programs/the-sandbox-public-infrastructure
HackenProof,The Sandbox Smart Contracts,the-sandbox-smart-contracts,HackenProof:the-sandbox-smart-contracts,2025-05-22,"domain,smart contract,solidity",1000.0,200000.0,https://hackenproof.com/programs/the-sandbox-smart-contracts
HackenProof,Flow Protocol,flow-protocol,HackenProof:flow-protocol,2025-05-08,"blockchain-dlt,go,other,smart contract",1000.0,100000.0,https://hackenproof.com/programs/flow-protocol
HackenProof,Flow Web,flow-web,HackenProof:flow-web,2025-05-08,"domain,wildcard",500.0,4000.0,https://hackenproof.com/programs/flow-web
HackenProof,STON.fi DEX Smart Contracts v2,ston-dot-fi-dex-smart-contracts-v2,HackenProof:ston-dot-fi-dex-smart-contracts-v2,2025-04-22,"other,smart contract",5000.0,100000.0,https://hackenproof.com/programs/ston-dot-fi-dex-smart-contracts-v2
HackenProof,Blockchain.com Web & Mobile,blockchain-dot-com,HackenProof:blockchain-dot-com,2025-04-15,"api,domain,mobile",100.0,10000.0,https://hackenproof.com/programs/blockchain-dot-com
HackenProof,AscendEX Web & Mobile,ascendex-web-and-mobile,HackenProof:ascendex-web-and-mobile,2025-04-09,"domain,mobile,wildcard",100.0,500.0,https://hackenproof.com/programs/ascendex-web-and-mobile
HackenProof,LeveX Web & Mobile,levex-web-and-mobile,HackenProof:levex-web-and-mobile,2025-03-31,"domain,mobile,wildcard",100.0,5000.0,https://hackenproof.com/programs/levex-web-and-mobile
HackenProof,Walrus Smart Contracts,walrus-smart-contracts,HackenProof:walrus-smart-contracts,2025-03-27,"move,other,rust,smart contract",1000.0,100000.0,https://hackenproof.com/programs/walrus-smart-contracts
HackenProof,Celestia,celestia,HackenProof:celestia,2025-03-26,"blockchain-dlt,go,other,smart contract",0.0,375000.0,https://hackenproof.com/programs/celestia
HackenProof,GMGN Web & Mobile,gmgn-web-and-mobile,HackenProof:gmgn-web-and-mobile,2025-03-17,"domain,mobile,wildcard",50.0,1000000.0,https://hackenproof.com/programs/gmgn-web-and-mobile
HackenProof,Swap.io Smart Contracts,swap-dot-io-smart-contracts,HackenProof:swap-dot-io-smart-contracts,2025-03-17,"other,rust,smart contract",3000.0,100000.0,https://hackenproof.com/programs/swap-dot-io-smart-contracts
HackenProof,Cube Exchange Web,cube-exchange-web,HackenProof:cube-exchange-web,2025-03-13,"domain,wildcard",200.0,10000.0,https://hackenproof.com/programs/cube-exchange-web
HackenProof,Gear Protocol,gear-protocol,HackenProof:gear-protocol,2025-03-13,"blockchain-dlt,other,rust",1000.0,25000.0,https://hackenproof.com/programs/gear-protocol
HackenProof,Scallop Protocol (Smart Contract),scallop-protocol-smart-contract,HackenProof:scallop-protocol-smart-contract,2025-03-05,"blockchain-dlt,move,other,smart contract",30.0,300000.0,https://hackenproof.com/programs/scallop-protocol-smart-contract
HackenProof,DEXX Web & Mobile,dexx-web-and-mobile,HackenProof:dexx-web-and-mobile,2025-02-26,"domain,mobile",100.0,10000.0,https://hackenproof.com/programs/dexx-web-and-mobile
HackenProof,Parity Polkadot Release Infrastructure,parity-polkadot-release-infrastructure,HackenProof:parity-polkadot-release-infrastructure,2025-02-23,"domain,other,rust",100.0,25000.0,https://hackenproof.com/programs/parity-polkadot-release-infrastructure
HackenProof,NiceHash Mining platform,nicehash-mining-platform,HackenProof:nicehash-mining-platform,2023-06-22,"api,domain,mobile,other",0.0,25000.0,https://hackenproof.com/programs/nicehash-mining-platform
HackenProof,CoinMetro Exchange,coinmetro-exchange,HackenProof:coinmetro-exchange,2021-04-28,"domain,wildcard",50.0,3000.0,https://hackenproof.com/programs/coinmetro-exchange
Immunefi,AGNI,agni,Immunefi:agni,2026-02-18,smart contract,1000.0,10000.0,https://immunefi.com/bug-bounty/agni/information/
Immunefi,Royco Dawn,royco,Immunefi:royco,2026-02-17,"smart contract,domain",2000.0,250000.0,https://immunefi.com/bug-bounty/royco/information/
Immunefi,Kleidi,kleidi,Immunefi:kleidi,2026-02-13,smart contract,5000.0,50000.0,https://immunefi.com/bug-bounty/kleidi/information/
Immunefi,Hermetica,hermetica,Immunefi:hermetica,2026-02-12,"smart contract,domain",1000.0,100000.0,https://immunefi.com/bug-bounty/hermetica/information/
Immunefi,Katana,katana,Immunefi:katana,2026-02-11,smart contract,1000.0,80000.0,https://immunefi.com/bug-bounty/katana/information/
Immunefi,RootstockLabs,rootstocklabs,Immunefi:rootstocklabs,2026-02-10,"blockchain-dlt,smart contract,domain",1000.0,200000.0,https://immunefi.com/bug-bounty/rootstocklabs/information/
Immunefi,Merchant Moe,merchant-moe,Immunefi:merchant-moe,2026-01-30,"smart contract,solidity",1000.0,100000.0,https://immunefi.com/bug-bounty/merchant-moe/information/
Immunefi,Veda,veda,Immunefi:veda,2026-01-21,smart contract,10000.0,1000000.0,https://immunefi.com/bug-bounty/veda/information/
Immunefi,Floe Labs,floe-labs,Immunefi:floe-labs,2026-01-16,"domain,smart contract",1000.0,50000.0,https://immunefi.com/bug-bounty/floe-labs/information/
Immunefi,Notional Exponent,notional-exponent,Immunefi:notional-exponent,2026-01-16,smart contract,10000.0,250000.0,https://immunefi.com/bug-bounty/notional-exponent/information/
Immunefi,Twyne,twyne,Immunefi:twyne,2026-01-16,"smart contract,solidity",3000.0,50000.0,https://immunefi.com/bug-bounty/twyne/information/
Immunefi,Zest Protocol V2,zest-protocol-v2,Immunefi:zest-protocol-v2,2026-01-15,"smart contract,clarity",1000.0,100000.0,https://immunefi.com/bug-bounty/zest-protocol-v2/information/
Immunefi,Exodus,exodus,Immunefi:exodus,2025-12-30,domain,500.0,18000.0,https://immunefi.com/bug-bounty/exodus/information/
Immunefi,Bitflow,bitflow,Immunefi:bitflow,2025-11-26,"smart contract,domain,clarity",1000.0,100000.0,https://immunefi.com/bug-bounty/bitflow/information/
Immunefi,Aleo,aleo,Immunefi:aleo,2025-11-24,blockchain-dlt,0.0,65000.0,https://immunefi.com/bug-bounty/aleo/information/
Immunefi,ZKsync OS,zksync-os,Immunefi:zksync-os,2025-11-24,blockchain-dlt,5000.0,100000.0,https://immunefi.com/bug-bounty/zksync-os/information/
Immunefi,CapyFi,capyfi,Immunefi:capyfi,2025-11-19,"smart contract,domain",1000.0,1000000.0,https://immunefi.com/bug-bounty/capyfi/information/
Immunefi,USX,usx,Immunefi:usx,2025-11-17,"smart contract,domain,solidity",3000.0,100000.0,https://immunefi.com/bug-bounty/usx/information/
Immunefi,Kiln (dApp/Infra),kiln-webapp,Immunefi:kiln-webapp,2025-10-30,domain,1000.0,100000.0,https://immunefi.com/bug-bounty/kiln-webapp/information/
Immunefi,Templar Protocol,templar-protocol,Immunefi:templar-protocol,2025-10-27,"smart contract,rust",1000.0,100000.0,https://immunefi.com/bug-bounty/templar-protocol/information/
