external_id,platform,name,program_link,date_launched,scope_type,github_link_count,github_links
HackenProof:nicehash-mining-platform,HackenProof,NiceHash Mining platform,https://hackenproof.com/programs/nicehash-mining-platform,2023-06-22,"api,domain,mobile,other",0,
HackenProof:noones-web-and-mobile,HackenProof,NoOnes Web & Mobile,https://hackenproof.com/programs/noones-web-and-mobile,2025-07-17,domain,0,
HackenProof:nonkyc-dot-io,HackenProof,NonKyc.io,https://hackenproof.com/programs/nonkyc-dot-io,2025-07-08,"api,domain,mobile",0,
HackenProof:ofza-web,HackenProof,OFZA Web,https://hackenproof.com/programs/ofza-web,2025-08-13,"domain,wildcard",0,
HackenProof:parity-polkadot-release-infrastructure,HackenProof,Parity Polkadot Release Infrastructure,https://hackenproof.com/programs/parity-polkadot-release-infrastructure,2025-02-23,"domain,other,rust",0,
HackenProof:phemex-web-and-mobile,HackenProof,Phemex Web & Mobile,https://hackenproof.com/programs/phemex-web-and-mobile,2025-11-13,"domain,mobile,wildcard",0,
HackenProof:rtree-finance-web,HackenProof,Rtree Finance Web,https://hackenproof.com/programs/rtree-finance-web,2026-06-01,"domain,wildcard",0,
HackenProof:sg-forge-smart-contracts,HackenProof,SG Forge Smart Contracts,https://hackenproof.com/programs/sg-forge-smart-contracts,2026-04-01,"domain,other,smart contract,solidity",1,https://github.com/castframework/smartcoin
HackenProof:stbl-smart-contracts,HackenProof,STBL Smart Contracts,https://hackenproof.com/programs/stbl-smart-contracts,2025-10-16,"domain,smart contract,solidity",0,
HackenProof:stbl-web,HackenProof,STBL Web,https://hackenproof.com/programs/stbl-web,2025-10-16,"domain,wildcard",0,
HackenProof:ston-dot-fi-dex-smart-contracts-v2,HackenProof,STON.fi DEX Smart Contracts v2,https://hackenproof.com/programs/ston-dot-fi-dex-smart-contracts-v2,2025-04-22,"other,smart contract",5,https://github.com/ston-fi/dex-core-v2/blob/main/contracts/lp_account.fc | https://github.com/ston-fi/dex-core-v2/blob/main/contracts/lp_wallet.fc | https://github.com/ston-fi/dex-core-v2/blob/main/contracts/pool.fc | https://github.com/ston-fi/dex-core-v2/blob/main/contracts/router.fc | https://github.com/ston-fi/dex-core-v2/blob/main/contracts/vault.fc
HackenProof:scallop-protocol-smart-contract,HackenProof,Scallop Protocol (Smart Contract),https://hackenproof.com/programs/scallop-protocol-smart-contract,2025-03-05,"blockchain-dlt,move,other,smart contract",1,https://github.com/scallop-io/sui-lending-protocol
HackenProof:snowbridge-on-chain-code,HackenProof,Snowbridge On-Chain Code,https://hackenproof.com/programs/snowbridge-on-chain-code,2025-09-11,"other,rust,smart contract,solidity",2,https://github.com/Snowfork/snowbridge/tree/1832f1ab840c257cac061e21926b65c93c43853c/contracts | https://github.com/paritytech/polkadot-sdk/tree/master/bridges/snowbridge
